Product Type,Stock Keeping Unit,Price,Availability,Number of products sold,Revenue generated,Gender,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Supply Dates
Cloths,SKU17,656,37,235,4316,Female,62,282,93,XpressBees,427,Prime Manufacturing,Vijayawada,61,726,19,31.45675155,Fail,4,Rail,108,11-05-1998
HomeGoods,SKU18,688,72,220,9343,Other,98,362,53,DHL Express,189,Apex Suppliers,Thrissur,60,722,80,96.30891938,Pass,3,Road,144,12-05-1998
Cloths,SKU19,633,35,378,4752,Male,58,388,30,Delhivery,346,Vertex Trading,Chandigarh,20,785,61,58.29913843,Fail,5,Rail,888,13-05-1998
Cloths,SKU20,1645,79,302,7203,Female,66,435,61,Mahindra Logistics,185,Prime Trading,Coimbatore,95,198,72,86.40163049,Pending,2,Air,352,14-05-1998
HomeGoods,SKU21,1806,90,308,8422,Male,65,419,59,Gati,173,Apex Trading,Mumbai,10,959,38,70.29672632,Pass,2,Air,723,15-05-1998
SkinCare,SKU22,1269,41,469,4651,Other,64,343,85,Blue Dart,274,Nova Trading,Udupi,39,876,5,32.79454055,Fail,5,Air,196,16-05-1998
Cloths,SKU23,1014,40,211,6421,Male,54,428,85,DHL Express,324,Apex Industries,Faridabad,71,674,44,8.43829444,Fail,2,Road,480,17-05-1998
Yogamats,SKU24,2323,72,203,5840,Other,70,382,88,Blue Dart,398,Apex Industries,Tiruppur,58,789,72,14.60324335,Pass,5,Rail,786,18-05-1998
Cosmetics ,SKU25,2792,51,266,6420,Male,58,464,93,DHL Express,280,Prime Logistics,Nagpur,18,306,19,69.00162435,Pending,5,Air,220,19-05-1998
Cloths,SKU26,2248,10,394,9761,Male,79,482,64,DHL Express,134,Nova Suppliers,Coimbatore,80,523,46,47.04929537,Pass,5,Air,282,20-05-1998
Health Care,SKU27,2090,48,143,8960,Male,75,435,76,XpressBees,225,Nova Logistics,Visakhapatnam,94,185,14,72.82342679,Pending,1,Rail,785,21-05-1998
Health Care,SKU28,2733,80,367,8499,Male,65,259,2,Mahindra Logistics,201,Vertex Trading,Jaipur,13,463,64,49.26483483,Pending,5,Sea,628,22-05-1998
Cloths,SKU29,1801,49,449,6638,Male,65,365,42,DHL Express,282,Prime Logistics,Thrissur,70,336,28,1.410991548,Pending,3,Road,448,23-05-1998
HomeGoods,SKU30,779,35,271,7732,Male,73,248,91,FedEx,107,Global Logistics,Dharwad,8,802,33,50.63527374,Fail,3,Sea,643,24-05-1998
HomeGoods,SKU31,1457,31,249,4057,Male,56,372,94,India Post,112,Vertex Trading,Cuttack,15,442,28,54.10850983,Fail,2,Air,912,25-05-1998
SkinCare,SKU32,805,96,419,4031,Other,79,497,76,Safexpress,131,Apex Logistics,Visakhapatnam,89,734,38,99.5366584,Pending,2,Road,524,26-05-1998
HomeGoods,SKU33,1491,2,190,2586,Male,97,252,28,Delhivery,342,Prime Logistics,Kolkata,52,492,19,91.7536635,Fail,5,Road,521,27-05-1998
Health Care,SKU34,2100,87,152,7901,Other,85,278,54,India Post,120,Global Trading,Pune,30,973,59,83.0778296,Pending,5,Road,999,28-05-1998
SkinCare,SKU35,826,31,423,5637,Female,82,338,2,DHL Express,328,Global Trading,Tumakuru,69,327,78,38.18933708,Fail,2,Road,747,29-05-1998
Cloths,SKU36,2848,76,100,6028,Male,65,332,60,DHL Express,291,Prime Industries,Ludhiana,38,498,50,35.77726373,Pass,2,Air,535,30-05-1998
Yogamats,SKU37,2133,97,424,9461,Male,58,232,8,Delhivery,331,Apex Logistics,Kolkata,26,298,57,62.649969,Pending,2,Road,791,31-05-1998
Health Care,SKU38,1663,25,295,8442,Female,96,209,17,Mahindra Logistics,168,Apex Manufacturing,Delhi,77,387,62,76.95770708,Pass,4,Road,396,01-06-1998
Cloths,SKU39,1594,97,224,4548,Male,55,411,13,India Post,186,Apex Logistics,Bhubaneswar,58,902,70,28.46294296,Fail,3,Rail,800,02-06-1998
SkinCare,SKU40,2306,36,238,9910,Female,88,431,8,Safexpress,135,Apex Logistics,Mumbai,62,179,59,66.78115447,Fail,4,Rail,229,03-06-1998
Cloths,SKU41,904,42,218,6383,Male,95,387,59,DTDC,327,Apex Trading,Tumakuru,65,270,40,53.86454795,Pass,3,Sea,846,04-06-1998
HomeGoods,SKU42,750,51,467,7471,Male,69,463,3,DHL Express,208,Apex Logistics,Faridabad,43,604,11,2.296761018,Pass,1,Sea,353,05-06-1998
Cloths,SKU43,1296,100,212,9427,Male,88,390,85,Mahindra Logistics,191,Nova Suppliers,Surat,57,504,28,44.95375501,Fail,1,Sea,515,06-06-1998
Yogamats,SKU44,1398,19,125,2596,Female,74,357,27,XpressBees,268,Nova Logistics,Kochi,59,746,49,1.989852813,Pass,5,Sea,556,07-06-1998
Yogamats,SKU45,1474,91,382,7523,Other,95,454,49,Gati,217,Apex Manufacturing,Pune,58,874,26,24.37114227,Pending,4,Road,931,08-06-1998
SkinCare,SKU46,2750,96,459,8125,Other,62,262,67,Safexpress,143,Apex Logistics,Trichy,82,850,26,10.8446078,Pass,2,Air,332,09-06-1998
Yogamats,SKU47,1819,56,434,5531,Male,64,404,15,FedEx,325,Global Manufacturing,Udupi,68,789,72,17.14187711,Pass,1,Road,755,10-06-1998
HomeGoods,SKU48,1491,64,316,9516,Male,77,355,19,XpressBees,319,Apex Trading,Bhopal,75,583,9,92.88091665,Pass,5,Road,747,11-06-1998
Health Care,SKU49,675,21,425,8126,Male,96,200,83,Gati,376,Vertex Logistics,Mysuru,65,114,44,40.29943078,Pass,2,Sea,911,12-06-1998
Cosmetics ,SKU50,1806,90,169,8397,Female,56,322,96,FedEx,183,Nova Trading,Visakhapatnam,28,392,21,65.4873674,Fail,4,Sea,474,13-06-1998
HomeGoods,SKU51,608,36,448,8345,Male,62,418,77,Mahindra Logistics,424,Vertex Suppliers,Davangere,96,511,21,71.45542516,Fail,5,Sea,885,14-06-1998
HomeGoods,SKU52,2492,58,489,4396,Male,61,222,52,Delhivery,276,Apex Suppliers,Trichy,21,113,47,99.40080851,Pending,4,Air,131,15-06-1998
Cosmetics ,SKU53,2091,96,477,8245,Female,91,365,96,India Post,231,Global Manufacturing,Cuttack,69,305,15,71.21966582,Pass,2,Sea,258,16-06-1998
Yogamats,SKU54,1970,69,354,7421,Female,62,356,22,Mahindra Logistics,466,Apex Manufacturing,Jaipur,47,904,70,50.04699361,Pass,4,Sea,549,17-06-1998
Cosmetics ,SKU55,1389,88,464,9201,Female,58,286,54,DHL Express,173,Apex Trading,Amritsar,34,949,17,68.2799668,Pass,3,Rail,884,18-06-1998
Cloths,SKU56,2554,49,410,6611,Female,80,422,40,DHL Express,265,Apex Logistics,Patna,54,831,48,69.49684107,Pending,2,Road,971,19-06-1998
Cloths,SKU57,705,61,157,8522,Female,72,361,78,Safexpress,180,Nova Suppliers,Hubli,79,872,24,5.44196449,Pending,5,Sea,826,20-06-1998
Cosmetics ,SKU58,1000,47,354,2370,Male,67,245,36,India Post,234,Apex Industries,Bhubaneswar,43,919,77,4.827776368,Pending,2,Rail,441,21-06-1998
HomeGoods,SKU59,995,7,410,2312,Other,84,465,76,Delhivery,435,Nova Industries,Ahmedabad,88,546,54,59.12282261,Fail,2,Road,479,22-06-1998
HomeGoods,SKU60,2572,24,201,4959,Male,69,495,42,DTDC,392,Prime Trading,Chandigarh,99,416,67,79.82901984,Pending,4,Sea,317,23-06-1998
HomeGoods,SKU61,886,35,158,8333,Female,89,220,22,Safexpress,283,Global Manufacturing,Faridabad,91,968,3,28.54613181,Fail,1,Rail,502,24-06-1998
SkinCare,SKU62,730,77,426,3799,Other,75,475,83,India Post,264,Vertex Manufacturing,Mumbai,2,233,59,19.72542481,Pending,4,Rail,339,25-06-1998
Cloths,SKU63,1543,73,465,6169,Male,64,228,47,DHL Express,163,Nova Suppliers,Dharwad,65,511,22,4.002352866,Pending,2,Air,688,26-06-1998
HomeGoods,SKU64,2584,40,375,8181,Male,66,225,30,Blue Dart,228,Prime Trading,Vijayawada,98,375,15,9.795642091,Pass,2,Air,294,27-06-1998
Cosmetics ,SKU65,1326,30,417,4298,Female,95,229,25,India Post,466,Prime Suppliers,Gurgaon,26,981,71,15.8443804,Fail,3,Sea,273,28-06-1998
Yogamats,SKU66,2697,40,214,7955,Female,50,247,16,Blue Dart,365,Apex Suppliers,Kannur,50,606,28,10.51309527,Pass,4,Road,927,29-06-1998
Cloths,SKU67,2249,44,179,8480,Male,75,452,51,XpressBees,185,Nova Industries,Noida,10,720,25,53.20950747,Pending,4,Air,279,30-06-1998
Health Care,SKU68,2345,21,310,9673,Male,81,360,87,FedEx,191,Vertex Logistics,Ballari,31,708,66,27.37074812,Pass,3,Road,554,01-07-1998
Health Care,SKU69,1197,26,299,9536,Female,81,249,66,DTDC,419,Apex Suppliers,Ahmedabad,74,975,11,44.68648202,Fail,4,Air,265,02-07-1998
SkinCare,SKU70,982,47,232,6072,Other,52,314,3,DTDC,277,Nova Logistics,Tumakuru,50,519,28,46.94034624,Pass,5,Rail,513,03-07-1998
Health Care,SKU71,2928,39,364,5419,Male,81,215,80,India Post,421,Apex Trading,Nagpur,25,397,43,58.61579425,Fail,1,Rail,852,04-07-1998
SkinCare,SKU72,537,57,452,8067,Other,72,350,99,India Post,170,Prime Suppliers,Thrissur,59,895,7,46.0747094,Pass,1,Air,622,05-07-1998
Cosmetics ,SKU73,1520,49,181,2389,Male,93,263,7,India Post,203,Nova Industries,Nagpur,99,603,78,32.65352918,Pass,1,Road,688,06-07-1998
Cosmetics ,SKU74,1432,80,377,3574,Other,68,244,94,DTDC,338,Global Suppliers,Gurgaon,3,459,47,94.10780052,Pass,4,Road,408,07-07-1998
HomeGoods,SKU75,1322,83,124,4521,Male,92,318,73,FedEx,249,Vertex Logistics,Bhubaneswar,85,351,77,60.06939855,Pending,4,Road,191,08-07-1998
Health Care,SKU76,1306,7,265,3882,Male,63,496,5,DTDC,226,Global Industries,Chandigarh,51,383,18,67.52709703,Pass,1,Rail,789,09-07-1998
SkinCare,SKU77,611,82,229,9572,Female,99,305,84,Blue Dart,374,Nova Industries,Tumakuru,40,439,76,78.86958965,Pending,2,Road,309,10-07-1998
Cloths,SKU78,1901,62,234,8565,Other,90,459,70,Delhivery,371,Apex Trading,Raipur,48,558,80,93.36019619,Fail,3,Sea,301,11-07-1998
HomeGoods,SKU79,903,75,455,9933,Other,71,212,77,FedEx,179,Prime Suppliers,Mangaluru,66,114,47,73.87652859,Pass,4,Air,667,12-07-1998
Yogamats,SKU80,2314,21,459,2170,Male,91,418,5,Mahindra Logistics,361,Vertex Manufacturing,Tiruppur,50,908,16,74.48915848,Fail,4,Road,359,13-07-1998
Health Care,SKU81,1432,77,204,3240,Male,66,311,2,FedEx,369,Global Manufacturing,Thrissur,91,354,29,91.75488211,Fail,1,Air,906,14-07-1998
Cloths,SKU82,549,10,396,6735,Female,52,410,49,DHL Express,341,Prime Industries,Ballari,77,226,64,52.15182262,Fail,1,Road,856,15-07-1998
Cosmetics ,SKU83,792,41,210,8570,Female,92,331,76,Mahindra Logistics,247,Global Logistics,Faridabad,20,805,67,64.36083746,Fail,2,Rail,606,16-07-1998
Cloths,SKU84,735,100,328,8117,Male,97,367,84,Blue Dart,402,Nova Suppliers,Belagavi,36,974,25,28.12019982,Pass,1,Rail,275,17-07-1998
HomeGoods,SKU85,1558,51,223,9136,Other,77,417,88,XpressBees,180,Nova Logistics,Vijayawada,78,849,34,40.44550436,Pending,4,Rail,939,18-07-1998
HomeGoods,SKU86,559,37,320,6589,Other,75,353,17,DTDC,172,Prime Industries,Bengaluru,59,794,75,2.254305739,Pending,1,Road,219,19-07-1998
Yogamats,SKU87,1280,22,267,8398,Female,66,257,55,Safexpress,217,Nova Logistics,Kochi,47,104,32,65.0863505,Pass,5,Rail,462,20-07-1998
Yogamats,SKU88,2343,14,259,8334,Female,72,304,1,Blue Dart,341,Global Suppliers,Mumbai,51,500,41,52.92005533,Pending,2,Air,573,21-07-1998
Health Care,SKU89,2053,44,250,8918,Female,59,398,41,Blue Dart,356,Prime Trading,Surat,96,546,31,28.2231877,Pending,2,Air,311,22-07-1998
SkinCare,SKU90,701,42,228,7353,Male,78,390,68,India Post,150,Vertex Suppliers,Trivandrum,62,230,64,16.09882991,Pending,5,Rail,873,23-07-1998
SkinCare,SKU91,960,89,120,7665,Male,64,420,59,FedEx,149,Apex Manufacturing,Cuttack,52,190,69,44.11870689,Pending,5,Air,435,24-07-1998
Health Care,SKU92,2882,18,312,2416,Female,75,235,83,FedEx,236,Nova Logistics,Nagpur,30,645,28,70.54525293,Fail,3,Rail,851,25-07-1998
Health Care,SKU93,2519,30,390,3152,Male,54,291,39,DHL Express,307,Apex Suppliers,Ahmedabad,42,123,61,81.6543077,Pending,5,Sea,252,26-07-1998
Health Care,SKU94,1755,30,107,4404,Other,56,500,70,XpressBees,341,Apex Manufacturing,Bhubaneswar,40,657,52,9.330977859,Fail,4,Air,300,27-07-1998
Health Care,SKU95,839,55,133,5294,Male,72,237,30,India Post,125,Global Industries,Mumbai,2,797,54,23.91072811,Fail,4,Road,907,28-07-1998
Health Care,SKU96,2734,53,378,2646,Male,56,417,2,FedEx,361,Prime Logistics,Kannur,88,257,20,51.50736258,Pass,5,Sea,887,29-07-1998
SkinCare,SKU97,1171,47,251,6582,Other,73,206,85,FedEx,162,Global Manufacturing,Amritsar,85,765,51,36.77104067,Fail,4,Road,657,30-07-1998
Cloths,SKU98,2805,21,368,5944,Other,63,388,9,FedEx,187,Global Logistics,Kozhikode,14,420,32,28.95141119,Pass,4,Rail,143,31-07-1998
Cosmetics ,SKU99,1057,43,378,2828,Female,84,265,11,Gati,455,Global Suppliers,Mysuru,8,900,20,3.354433771,Pending,5,Road,170,01-08-1998
HomeGoods,SKU100,872,45,195,3966,Male,96,396,13,India Post,363,Nova Logistics,Bhopal,25,603,4,53.20622763,Pass,1,Air,161,02-08-1998
Yogamats,SKU101,2523,1,110,5697,Female,98,369,76,India Post,205,Apex Industries,Thrissur,74,292,80,6.924516149,Fail,1,Rail,260,03-08-1998
Yogamats,SKU102,2039,37,433,3680,Female,53,220,17,Safexpress,364,Prime Manufacturing,Tiruppur,37,903,77,30.71576264,Pending,3,Sea,476,04-08-1998
Health Care,SKU103,2866,6,380,9055,Male,70,265,38,XpressBees,482,Nova Trading,Visakhapatnam,59,534,46,74.56582062,Pass,5,Rail,582,05-08-1998
Cosmetics ,SKU104,2143,25,220,7981,Other,61,408,16,Safexpress,375,Vertex Logistics,Madurai,23,832,34,91.78622054,Pending,4,Sea,609,06-08-1998
Health Care,SKU105,2485,35,471,6107,Male,73,236,83,XpressBees,315,Nova Suppliers,Chandigarh,87,899,52,18.30840831,Pending,5,Air,965,07-08-1998
Yogamats,SKU106,2909,37,410,8171,Other,67,263,45,FedEx,178,Vertex Industries,Hyderabad,5,861,5,62.88020551,Pending,2,Sea,117,08-08-1998
Cosmetics ,SKU107,822,68,236,2177,Female,53,455,37,XpressBees,310,Prime Logistics,Noida,68,326,16,58.85054093,Fail,3,Road,387,09-08-1998
Cosmetics ,SKU108,748,16,159,4475,Male,96,357,41,Mahindra Logistics,372,Apex Industries,Thrissur,95,565,3,63.99898559,Fail,4,Sea,871,10-08-1998
Cloths,SKU109,2337,91,193,9799,Other,99,447,87,Mahindra Logistics,312,Nova Logistics,Tumakuru,60,523,54,53.7758072,Pass,2,Sea,625,11-08-1998
Yogamats,SKU110,548,87,473,5288,Male,87,476,16,India Post,372,Global Suppliers,Raipur,74,327,72,48.99684019,Pass,4,Sea,736,12-08-1998
Cosmetics ,SKU111,2404,91,314,2689,Other,61,454,51,XpressBees,158,Prime Industries,Bhopal,33,801,22,73.56530954,Fail,1,Sea,659,13-08-1998
Health Care,SKU112,1918,71,343,7154,Male,95,310,37,Mahindra Logistics,370,Prime Trading,Kochi,24,994,48,34.72282392,Pass,1,Road,260,14-08-1998
HomeGoods,SKU113,2796,100,391,9206,Male,58,472,61,Safexpress,104,Prime Industries,Coimbatore,74,139,75,46.82330145,Pass,4,Rail,532,15-08-1998
Cloths,SKU114,631,33,181,9318,Other,76,208,32,Mahindra Logistics,478,Nova Suppliers,Kozhikode,58,501,39,49.96011858,Pass,5,Air,116,16-08-1998
Cosmetics ,SKU115,2048,28,364,4161,Female,82,418,47,DHL Express,449,Global Trading,Ludhiana,87,959,24,78.21872012,Pass,1,Rail,179,17-08-1998
Health Care,SKU116,2878,60,492,8673,Male,96,318,52,Mahindra Logistics,330,Vertex Logistics,Kalaburagi,35,182,61,45.44064323,Fail,5,Rail,686,18-08-1998
SkinCare,SKU117,2992,11,230,2420,Other,66,342,95,Gati,224,Nova Suppliers,Jaipur,66,122,57,87.84699316,Pass,1,Sea,884,19-08-1998
Cosmetics ,SKU118,1436,3,398,4391,Male,72,314,25,Delhivery,365,Apex Suppliers,Udupi,75,952,33,57.15928288,Pass,1,Road,774,20-08-1998
SkinCare,SKU119,587,24,423,5099,Other,61,468,16,Mahindra Logistics,141,Apex Suppliers,Delhi,40,913,35,83.83754202,Fail,5,Road,232,21-08-1998
Yogamats,SKU120,1779,58,245,7586,Other,88,339,24,Safexpress,368,Prime Manufacturing,Faridabad,5,691,78,3.467941648,Pending,4,Air,749,22-08-1998
Yogamats,SKU121,1275,16,155,8737,Other,63,274,59,Safexpress,168,Global Logistics,Pune,53,210,23,56.55852251,Pending,4,Rail,295,23-08-1998
Cosmetics ,SKU122,513,11,480,9099,Male,70,217,76,DHL Express,142,Global Trading,Noida,54,468,45,67.80230037,Pending,2,Road,318,24-08-1998
Cosmetics ,SKU123,1050,2,339,6550,Other,80,363,39,DHL Express,114,Global Industries,Gurgaon,59,763,5,94.19217697,Fail,1,Rail,384,25-08-1998
Cloths,SKU124,2519,67,258,6935,Female,88,485,71,FedEx,399,Prime Manufacturing,Mangaluru,66,103,65,37.43867087,Fail,1,Air,405,26-08-1998
SkinCare,SKU125,527,92,410,5769,Male,54,238,99,XpressBees,297,Apex Manufacturing,Patna,95,532,73,21.44543632,Pending,1,Road,902,27-08-1998
SkinCare,SKU126,1350,20,392,4247,Male,53,327,12,Blue Dart,115,Prime Manufacturing,Thrissur,27,849,63,72.30340041,Pass,4,Air,972,28-08-1998
Cloths,SKU127,1785,93,318,6710,Male,68,262,69,India Post,224,Global Industries,Kalaburagi,83,412,21,79.42752662,Pass,3,Rail,610,29-08-1998
HomeGoods,SKU128,2952,57,177,7583,Male,86,285,67,DTDC,218,Prime Suppliers,Bengaluru,42,443,63,93.6740663,Pass,1,Rail,641,30-08-1998
Health Care,SKU129,1701,10,251,8112,Male,65,454,56,FedEx,193,Vertex Logistics,Noida,46,136,9,58.4334409,Fail,1,Sea,726,31-08-1998
Cloths,SKU130,1472,22,249,8578,Female,82,407,69,Mahindra Logistics,233,Apex Trading,Gurgaon,75,388,36,18.04024933,Pending,3,Rail,537,01-09-1998
SkinCare,SKU131,2519,95,124,9796,Male,60,422,12,Blue Dart,150,Nova Manufacturing,Kochi,77,183,42,99.65658518,Pass,2,Sea,586,02-09-1998
SkinCare,SKU132,1888,3,451,6651,Male,70,234,63,India Post,200,Global Suppliers,Delhi,45,181,31,75.39341389,Fail,5,Air,893,03-09-1998
SkinCare,SKU133,2493,30,310,3785,Male,55,221,49,XpressBees,365,Global Suppliers,Coimbatore,98,702,19,61.0015732,Pending,4,Air,926,04-09-1998
SkinCare,SKU134,1899,7,410,4290,Male,63,350,88,India Post,248,Global Manufacturing,Chennai,79,295,69,70.39725511,Pending,2,Rail,456,05-09-1998
Yogamats,SKU135,1835,86,484,5209,Male,94,381,31,Safexpress,218,Prime Logistics,Udupi,38,510,31,21.77032552,Pass,4,Road,637,06-09-1998
Cosmetics ,SKU136,1680,35,380,3939,Female,64,205,75,DHL Express,398,Vertex Suppliers,Indore,19,838,57,38.60637058,Pass,1,Air,968,07-09-1998
SkinCare,SKU137,531,93,305,5403,Male,95,460,79,Gati,125,Global Industries,Mangaluru,40,226,50,45.92946696,Pass,5,Air,146,08-09-1998
SkinCare,SKU138,867,51,247,7112,Other,54,462,100,Delhivery,384,Vertex Industries,Delhi,81,769,54,48.60130873,Fail,2,Air,911,09-09-1998
SkinCare,SKU139,2101,99,421,2587,Other,65,277,66,Delhivery,381,Prime Industries,Kolkata,3,467,13,21.49865084,Pass,1,Air,551,10-09-1998
Health Care,SKU140,776,88,301,6981,Male,89,291,23,FedEx,401,Apex Manufacturing,Faridabad,16,704,47,8.843721536,Fail,3,Air,138,11-09-1998
Cloths,SKU141,1094,80,365,6342,Male,63,316,29,DTDC,423,Prime Manufacturing,Delhi,78,306,19,3.136519045,Pending,5,Road,467,12-09-1998
Health Care,SKU142,2530,66,170,6920,Other,97,370,20,Blue Dart,235,Vertex Suppliers,Nagpur,13,695,13,99.54077591,Pass,2,Rail,285,13-09-1998
Cloths,SKU143,1683,7,266,7581,Male,81,390,46,DTDC,292,Apex Logistics,Trivandrum,38,878,55,57.64667381,Pass,4,Air,179,14-09-1998
HomeGoods,SKU144,927,25,156,9251,Male,75,445,24,Blue Dart,120,Global Trading,Noida,76,675,50,99.00752036,Pending,1,Rail,436,15-09-1998
HomeGoods,SKU145,2822,41,431,6275,Male,74,391,36,Delhivery,168,Vertex Trading,Amritsar,12,816,41,52.57598553,Pending,1,Rail,821,16-09-1998
SkinCare,SKU146,2189,39,195,9654,Male,80,368,93,DTDC,138,Prime Industries,Udupi,40,333,13,55.06523229,Pass,5,Air,368,17-09-1998
HomeGoods,SKU147,1319,62,482,2738,Other,88,214,35,DTDC,481,Nova Manufacturing,Madurai,36,404,63,1.657894137,Pass,2,Sea,455,18-09-1998
HomeGoods,SKU148,2917,65,293,9839,Male,85,239,77,FedEx,478,Nova Logistics,Mumbai,57,307,31,83.62239268,Pending,3,Air,858,19-09-1998
Yogamats,SKU149,2325,92,411,2210,Other,57,285,97,DHL Express,439,Nova Industries,Mumbai,70,312,7,75.7974067,Fail,4,Road,529,20-09-1998
Cloths,SKU150,2228,80,322,5309,Male,85,262,92,DTDC,124,Nova Industries,Indore,9,693,5,40.69368212,Pending,1,Sea,460,21-09-1998
HomeGoods,SKU151,1376,37,469,4622,Other,84,247,45,FedEx,187,Vertex Manufacturing,Coimbatore,15,503,46,96.27945089,Pending,4,Sea,986,22-09-1998
Health Care,SKU152,2336,15,344,9419,Male,96,353,79,India Post,319,Vertex Logistics,Trivandrum,78,743,69,96.6407658,Pending,1,Rail,109,23-09-1998
Yogamats,SKU153,2655,80,169,7896,Female,88,459,39,Mahindra Logistics,255,Vertex Suppliers,Dharwad,47,574,39,46.15351787,Pending,4,Road,539,24-09-1998
Cloths,SKU154,1544,23,309,3277,Female,67,204,77,Safexpress,461,Apex Logistics,Kolkata,86,998,61,41.36783114,Fail,2,Sea,981,25-09-1998
Health Care,SKU155,959,42,144,5195,Male,96,483,18,India Post,155,Prime Trading,Hyderabad,21,953,73,82.93399592,Pending,1,Air,571,26-09-1998
Cloths,SKU156,2895,17,471,6398,Female,61,411,73,Gati,475,Global Logistics,Kalaburagi,39,895,19,75.17914835,Pending,2,Road,912,27-09-1998
Cloths,SKU157,1970,40,164,3953,Female,66,288,94,India Post,497,Prime Manufacturing,Kalaburagi,24,279,25,55.54613122,Pass,2,Road,206,28-09-1998
Cloths,SKU158,953,57,309,5818,Female,86,281,36,DTDC,246,Apex Industries,Kolkata,84,414,20,26.37114117,Fail,4,Air,713,29-09-1998
SkinCare,SKU159,2639,10,417,4782,Female,55,415,43,Delhivery,421,Prime Manufacturing,Amritsar,66,854,24,62.07479253,Pending,2,Road,564,30-09-1998
Yogamats,SKU160,1307,23,244,3863,Male,93,272,40,Blue Dart,326,Prime Industries,Bhopal,79,665,1,76.53844163,Fail,5,Rail,343,01-10-1998
Health Care,SKU161,2805,60,463,7866,Male,57,350,89,Mahindra Logistics,372,Prime Suppliers,Nagpur,9,730,72,3.019510203,Pass,5,Air,897,02-10-1998
Cloths,SKU162,746,13,214,2750,Male,98,486,7,Mahindra Logistics,350,Apex Suppliers,Tiruppur,55,399,68,95.0597048,Pending,2,Rail,939,03-10-1998
Health Care,SKU163,826,45,132,3871,Male,66,217,87,India Post,253,Global Suppliers,Bengaluru,45,876,38,57.03653332,Fail,1,Rail,394,04-10-1998
Cosmetics ,SKU164,1407,4,102,2235,Female,61,425,18,DTDC,443,Prime Logistics,Bengaluru,93,400,77,59.48710205,Fail,5,Rail,871,05-10-1998
Cosmetics ,SKU165,597,87,352,6942,Female,89,235,16,FedEx,330,Vertex Industries,Delhi,26,493,20,21.31268445,Pending,2,Air,746,06-10-1998
HomeGoods,SKU166,1420,50,319,8058,Male,72,381,55,FedEx,195,Vertex Manufacturing,Bengaluru,71,608,20,76.56988813,Fail,5,Road,937,07-10-1998
